"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; n.d., not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
562;17793.59;1.19E-05;1.21E-06;1.56E-05;4.58E-06
564;17730.5;1.11E-05;1.12E-06;1.54E-05;4.42E-06
566;17667.84;9.54E-06;1.27E-06;1.44E-05;4.76E-06
568;17605.63;8.19E-06;1.34E-06;1.34E-05;4.93E-06
570;17543.86;7.13E-06;1.32E-06;1.27E-05;4.42E-06
572;17482.52;5.87E-06;1.17E-06;1.13E-05;4.99E-06
574;17421.6;4.18E-06;8.37E-07;1.02E-05;4.78E-06
576;17361.11;2.93E-06;8.17E-07;8.89E-06;4.68E-06
578;17301.04;9.57E-07;5.87E-07;6.82E-06;4.38E-06
580;17241.38;-6.73E-07;9.92E-07;3.74E-06;4.93E-06
582;17182.13;-2.72E-06;4.98E-07;1.62E-06;4.96E-06
584;17123.29;-1.81E-06;7.59E-07;1.39E-06;4.66E-06
586;17064.85;-1.25E-06;1.57E-06;9.31E-07;4.75E-06
588;17006.8;4.42E-07;1.28E-06;1.21E-06;4.43E-06
590;16949.15;1.78E-06;1.68E-06;2.78E-06;5.38E-06
592;16891.89;3.14E-06;1.70E-06;2.93E-06;4.63E-06
594;16835.02;2.75E-06;6.93E-07;7.38E-07;5.36E-06
596;16778.52;-1.83E-07;3.31E-06;-5.98E-06;4.34E-06
598;16722.41;-9.05E-06;3.90E-06;-1.73E-05;5.16E-06
600;16666.67;-4.15E-06;4.01E-06;-1.62E-05;5.32E-06
602;16611.3;1.76E-05;5.24E-06;3.55E-06;7.38E-06
604;16556.29;4.62E-05;6.46E-06;3.08E-05;6.84E-06
606;16501.65;6.84E-05;5.44E-06;5.28E-05;7.11E-06
608;16447.37;8.39E-05;2.80E-06;6.89E-05;8.03E-06
610;16393.44;9.15E-05;4.60E-06;7.54E-05;7.02E-06
612;16339.87;9.45E-05;3.10E-06;8.00E-05;6.54E-06
614;16286.64;9.65E-05;4.00E-06;8.29E-05;6.42E-06
616;16233.77;9.49E-05;2.84E-06;8.37E-05;6.96E-06
