"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; n.d., not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
2906;3441.16;n.d.;n.d.;2.82E+02;n.d.
2908;3438.79;n.d.;n.d.;2.69E+02;n.d.
2910;3436.43;n.d.;n.d.;2.53E+02;n.d.
2912;3434.07;n.d.;n.d.;2.44E+02;n.d.
2914;3431.71;n.d.;n.d.;2.41E+02;n.d.
2916;3429.36;n.d.;n.d.;2.32E+02;n.d.
2918;3427;n.d.;n.d.;2.25E+02;n.d.
2920;3424.66;n.d.;n.d.;2.14E+02;n.d.
2922;3422.31;n.d.;n.d.;1.96E+02;n.d.
2924;3419.97;n.d.;n.d.;1.82E+02;n.d.
2926;3417.63;n.d.;n.d.;1.73E+02;n.d.
2928;3415.3;n.d.;n.d.;1.64E+02;n.d.
2930;3412.97;n.d.;n.d.;1.54E+02;n.d.
2932;3410.64;n.d.;n.d.;1.38E+02;n.d.
2934;3408.32;n.d.;n.d.;1.23E+02;n.d.
2936;3405.99;n.d.;n.d.;1.12E+02;n.d.
2938;3403.68;n.d.;n.d.;9.93E+01;n.d.
2940;3401.36;n.d.;n.d.;8.49E+01;n.d.
2942;3399.05;n.d.;n.d.;7.12E+01;n.d.
2944;3396.74;n.d.;n.d.;6.12E+01;n.d.
2946;3394.43;n.d.;n.d.;5.00E+01;n.d.
2948;3392.13;n.d.;n.d.;3.23E+01;n.d.
2950;3389.83;n.d.;n.d.;9.01E+00;n.d.
2952;3387.53;n.d.;n.d.;-5.54E+00;n.d.
2954;3385.24;n.d.;n.d.;-1.41E+01;n.d.
2956;3382.95;n.d.;n.d.;-2.76E+01;n.d.
2958;3380.66;n.d.;n.d.;-4.06E+01;n.d.
2960;3378.38;n.d.;n.d.;-5.49E+01;n.d.
2962;3376.1;n.d.;n.d.;-6.67E+01;n.d.
2964;3373.82;n.d.;n.d.;-8.18E+01;n.d.
2966;3371.54;n.d.;n.d.;-1.00E+02;n.d.
2968;3369.27;n.d.;n.d.;-1.15E+02;n.d.
2970;3367;n.d.;n.d.;-1.27E+02;n.d.
2972;3364.74;n.d.;n.d.;-1.34E+02;n.d.
2974;3362.47;n.d.;n.d.;-1.51E+02;n.d.
2976;3360.22;n.d.;n.d.;-1.74E+02;n.d.
2978;3357.96;n.d.;n.d.;-1.86E+02;n.d.
2980;3355.7;n.d.;n.d.;-1.97E+02;n.d.
2982;3353.45;n.d.;n.d.;-2.12E+02;n.d.
2984;3351.21;n.d.;n.d.;-2.25E+02;n.d.
2986;3348.96;n.d.;n.d.;-2.35E+02;n.d.
2988;3346.72;n.d.;n.d.;-2.43E+02;n.d.
2990;3344.48;n.d.;n.d.;-2.60E+02;n.d.
2992;3342.25;n.d.;n.d.;-2.76E+02;n.d.
2994;3340.01;n.d.;n.d.;-2.88E+02;n.d.
2996;3337.78;n.d.;n.d.;-2.96E+02;n.d.
2998;3335.56;n.d.;n.d.;-3.07E+02;n.d.
3000;3333.33;n.d.;n.d.;-3.20E+02;n.d.
3002;3331.11;n.d.;n.d.;-3.29E+02;n.d.
3004;3328.89;n.d.;n.d.;-3.40E+02;n.d.
3006;3326.68;n.d.;n.d.;-3.54E+02;n.d.
3008;3324.47;n.d.;n.d.;-3.64E+02;n.d.
3010;3322.26;n.d.;n.d.;-3.70E+02;n.d.
3012;3320.05;n.d.;n.d.;-3.80E+02;n.d.
3014;3317.85;n.d.;n.d.;-3.93E+02;n.d.
3016;3315.65;n.d.;n.d.;-3.97E+02;n.d.
3018;3313.45;n.d.;n.d.;-4.00E+02;n.d.
3020;3311.26;n.d.;n.d.;-4.10E+02;n.d.
3022;3309.07;n.d.;n.d.;-4.19E+02;n.d.
3024;3306.88;n.d.;n.d.;-4.22E+02;n.d.
3026;3304.69;n.d.;n.d.;-4.27E+02;n.d.
3028;3302.51;n.d.;n.d.;-4.35E+02;n.d.
3030;3300.33;n.d.;n.d.;-4.45E+02;n.d.
3032;3298.15;n.d.;n.d.;-4.50E+02;n.d.
3034;3295.98;n.d.;n.d.;-4.51E+02;n.d.
3036;3293.81;n.d.;n.d.;-4.54E+02;n.d.
3038;3291.64;n.d.;n.d.;-4.59E+02;n.d.
3040;3289.47;n.d.;n.d.;-4.64E+02;n.d.
3042;3287.31;n.d.;n.d.;-4.71E+02;n.d.
3044;3285.15;n.d.;n.d.;-4.74E+02;n.d.
3046;3282.99;n.d.;n.d.;-4.77E+02;n.d.
3048;3280.84;n.d.;n.d.;-4.79E+02;n.d.
3050;3278.69;n.d.;n.d.;-4.78E+02;n.d.
3052;3276.54;n.d.;n.d.;-4.79E+02;n.d.
3054;3274.39;n.d.;n.d.;-4.83E+02;n.d.
3056;3272.25;n.d.;n.d.;-4.88E+02;n.d.
3058;3270.11;n.d.;n.d.;-4.91E+02;n.d.
3060;3267.97;n.d.;n.d.;-4.91E+02;n.d.
3062;3265.84;n.d.;n.d.;-4.91E+02;n.d.
3064;3263.71;n.d.;n.d.;-4.91E+02;n.d.
3066;3261.58;n.d.;n.d.;-4.91E+02;n.d.
3068;3259.45;n.d.;n.d.;-4.94E+02;n.d.
3070;3257.33;n.d.;n.d.;-4.98E+02;n.d.
3072;3255.21;n.d.;n.d.;-4.99E+02;n.d.
3074;3253.09;n.d.;n.d.;-4.96E+02;n.d.
3076;3250.98;n.d.;n.d.;-4.94E+02;n.d.
3078;3248.86;n.d.;n.d.;-4.93E+02;n.d.
3080;3246.75;n.d.;n.d.;-4.92E+02;n.d.
3082;3244.65;n.d.;n.d.;-4.93E+02;n.d.
3084;3242.54;n.d.;n.d.;-4.93E+02;n.d.
3086;3240.44;n.d.;n.d.;-4.94E+02;n.d.
3088;3238.34;n.d.;n.d.;-4.93E+02;n.d.
3090;3236.25;n.d.;n.d.;-4.90E+02;n.d.
3092;3234.15;n.d.;n.d.;-4.90E+02;n.d.
3094;3232.06;n.d.;n.d.;-4.91E+02;n.d.
3096;3229.97;n.d.;n.d.;-4.90E+02;n.d.
3098;3227.89;n.d.;n.d.;-4.88E+02;n.d.
3100;3225.81;n.d.;n.d.;-4.87E+02;n.d.
3102;3223.73;n.d.;n.d.;-4.88E+02;n.d.
3104;3221.65;n.d.;n.d.;-4.88E+02;n.d.
3106;3219.58;n.d.;n.d.;-4.83E+02;n.d.
3108;3217.5;n.d.;n.d.;-4.80E+02;n.d.
3110;3215.43;n.d.;n.d.;-4.79E+02;n.d.
3112;3213.37;n.d.;n.d.;-4.77E+02;n.d.
3114;3211.3;n.d.;n.d.;-4.74E+02;n.d.
3116;3209.24;n.d.;n.d.;-4.71E+02;n.d.
3118;3207.18;n.d.;n.d.;-4.68E+02;n.d.
3120;3205.13;n.d.;n.d.;-4.66E+02;n.d.
3122;3203.07;n.d.;n.d.;-4.64E+02;n.d.
3124;3201.02;n.d.;n.d.;-4.61E+02;n.d.
3126;3198.98;n.d.;n.d.;-4.59E+02;n.d.
3128;3196.93;n.d.;n.d.;-4.57E+02;n.d.
3130;3194.89;n.d.;n.d.;-4.54E+02;n.d.
3132;3192.85;n.d.;n.d.;-4.50E+02;n.d.
3134;3190.81;n.d.;n.d.;-4.47E+02;n.d.
3136;3188.78;n.d.;n.d.;-4.44E+02;n.d.
3138;3186.74;n.d.;n.d.;-4.41E+02;n.d.
3140;3184.71;n.d.;n.d.;-4.37E+02;n.d.
3142;3182.69;n.d.;n.d.;-4.32E+02;n.d.
3144;3180.66;n.d.;n.d.;-4.28E+02;n.d.
3146;3178.64;n.d.;n.d.;-4.23E+02;n.d.
3148;3176.62;n.d.;n.d.;-4.19E+02;n.d.
3150;3174.6;n.d.;n.d.;-4.15E+02;n.d.
3152;3172.59;n.d.;n.d.;-4.12E+02;n.d.
3154;3170.58;n.d.;n.d.;-4.08E+02;n.d.
3156;3168.57;n.d.;n.d.;-4.04E+02;n.d.
3158;3166.56;n.d.;n.d.;-3.99E+02;n.d.
3160;3164.56;n.d.;n.d.;-3.95E+02;n.d.
3162;3162.56;n.d.;n.d.;-3.91E+02;n.d.
3164;3160.56;n.d.;n.d.;-3.87E+02;n.d.
3166;3158.56;n.d.;n.d.;-3.82E+02;n.d.
3168;3156.57;n.d.;n.d.;-3.77E+02;n.d.
3170;3154.57;n.d.;n.d.;-3.72E+02;n.d.
3172;3152.59;n.d.;n.d.;-3.67E+02;n.d.
3174;3150.6;n.d.;n.d.;-3.63E+02;n.d.
3176;3148.61;n.d.;n.d.;-3.59E+02;n.d.
3178;3146.63;n.d.;n.d.;-3.55E+02;n.d.
3180;3144.65;n.d.;n.d.;-3.50E+02;n.d.
3182;3142.68;n.d.;n.d.;-3.45E+02;n.d.
3184;3140.7;n.d.;n.d.;-3.40E+02;n.d.
3186;3138.73;n.d.;n.d.;-3.36E+02;n.d.
3188;3136.76;n.d.;n.d.;-3.32E+02;n.d.
3190;3134.8;n.d.;n.d.;-3.28E+02;n.d.
3192;3132.83;n.d.;n.d.;-3.23E+02;n.d.
3194;3130.87;n.d.;n.d.;-3.19E+02;n.d.
3196;3128.91;n.d.;n.d.;-3.14E+02;n.d.
3198;3126.95;n.d.;n.d.;-3.10E+02;n.d.
3200;3125;n.d.;n.d.;-3.05E+02;n.d.
3202;3123.05;n.d.;n.d.;-3.00E+02;n.d.
3204;3121.1;n.d.;n.d.;-2.96E+02;n.d.
3206;3119.15;n.d.;n.d.;-2.92E+02;n.d.
3208;3117.21;n.d.;n.d.;-2.87E+02;n.d.
3210;3115.26;n.d.;n.d.;-2.83E+02;n.d.
3212;3113.33;n.d.;n.d.;-2.79E+02;n.d.
3214;3111.39;n.d.;n.d.;-2.75E+02;n.d.
3216;3109.45;n.d.;n.d.;-2.71E+02;n.d.
3218;3107.52;n.d.;n.d.;-2.67E+02;n.d.
3220;3105.59;n.d.;n.d.;-2.63E+02;n.d.
3222;3103.66;n.d.;n.d.;-2.58E+02;n.d.
3224;3101.74;n.d.;n.d.;-2.54E+02;n.d.
3226;3099.81;n.d.;n.d.;-2.51E+02;n.d.
3228;3097.89;n.d.;n.d.;-2.47E+02;n.d.
3230;3095.98;n.d.;n.d.;-2.43E+02;n.d.
3232;3094.06;n.d.;n.d.;-2.39E+02;n.d.
3234;3092.15;n.d.;n.d.;-2.35E+02;n.d.
3236;3090.23;n.d.;n.d.;-2.32E+02;n.d.
3238;3088.33;n.d.;n.d.;-2.28E+02;n.d.
3240;3086.42;n.d.;n.d.;-2.25E+02;n.d.
3242;3084.52;n.d.;n.d.;-2.21E+02;n.d.
3244;3082.61;n.d.;n.d.;-2.18E+02;n.d.
3246;3080.71;n.d.;n.d.;-2.14E+02;n.d.
3248;3078.82;n.d.;n.d.;-2.11E+02;n.d.
3250;3076.92;n.d.;n.d.;-2.08E+02;n.d.
3252;3075.03;n.d.;n.d.;-2.05E+02;n.d.
3254;3073.14;n.d.;n.d.;-2.01E+02;n.d.
3256;3071.25;n.d.;n.d.;-1.98E+02;n.d.
3258;3069.37;n.d.;n.d.;-1.95E+02;n.d.
3260;3067.48;n.d.;n.d.;-1.92E+02;n.d.
3262;3065.6;n.d.;n.d.;-1.89E+02;n.d.
3264;3063.73;n.d.;n.d.;-1.86E+02;n.d.
3266;3061.85;n.d.;n.d.;-1.83E+02;n.d.
3268;3059.98;n.d.;n.d.;-1.80E+02;n.d.
3270;3058.1;n.d.;n.d.;-1.77E+02;n.d.
3272;3056.23;n.d.;n.d.;-1.74E+02;n.d.
3274;3054.37;n.d.;n.d.;-1.72E+02;n.d.
3276;3052.5;n.d.;n.d.;-1.69E+02;n.d.
3278;3050.64;n.d.;n.d.;-1.66E+02;n.d.
3280;3048.78;n.d.;n.d.;-1.64E+02;n.d.
3282;3046.92;n.d.;n.d.;-1.61E+02;n.d.
3284;3045.07;n.d.;n.d.;-1.58E+02;n.d.
3286;3043.21;n.d.;n.d.;-1.56E+02;n.d.
3288;3041.36;n.d.;n.d.;-1.53E+02;n.d.
3290;3039.51;n.d.;n.d.;-1.51E+02;n.d.
3292;3037.67;n.d.;n.d.;-1.49E+02;n.d.
3294;3035.82;n.d.;n.d.;-1.46E+02;n.d.
3296;3033.98;n.d.;n.d.;-1.44E+02;n.d.
3298;3032.14;n.d.;n.d.;-1.42E+02;n.d.
3300;3030.3;n.d.;n.d.;-1.39E+02;n.d.
3302;3028.47;n.d.;n.d.;-1.37E+02;n.d.
3304;3026.63;n.d.;n.d.;-1.35E+02;n.d.
3306;3024.8;n.d.;n.d.;-1.33E+02;n.d.
3308;3022.97;n.d.;n.d.;-1.31E+02;n.d.
3310;3021.15;n.d.;n.d.;-1.29E+02;n.d.
3312;3019.32;n.d.;n.d.;-1.27E+02;n.d.
3314;3017.5;n.d.;n.d.;-1.25E+02;n.d.
3316;3015.68;n.d.;n.d.;-1.23E+02;n.d.
3318;3013.86;n.d.;n.d.;-1.21E+02;n.d.
3320;3012.05;n.d.;n.d.;-1.19E+02;n.d.
3322;3010.23;n.d.;n.d.;-1.17E+02;n.d.
3324;3008.42;n.d.;n.d.;-1.15E+02;n.d.
3326;3006.61;n.d.;n.d.;-1.13E+02;n.d.
3328;3004.81;n.d.;n.d.;-1.11E+02;n.d.
3330;3003;n.d.;n.d.;-1.10E+02;n.d.
3332;3001.2;n.d.;n.d.;-1.08E+02;n.d.
3334;2999.4;n.d.;n.d.;-1.06E+02;n.d.
3336;2997.6;n.d.;n.d.;-1.04E+02;n.d.
3338;2995.81;n.d.;n.d.;-1.03E+02;n.d.
3340;2994.01;n.d.;n.d.;-1.01E+02;n.d.
3342;2992.22;n.d.;n.d.;-9.97E+01;n.d.
3344;2990.43;n.d.;n.d.;-9.81E+01;n.d.
3346;2988.64;n.d.;n.d.;-9.65E+01;n.d.
3348;2986.86;n.d.;n.d.;-9.50E+01;n.d.
3350;2985.07;n.d.;n.d.;-9.35E+01;n.d.
3352;2983.29;n.d.;n.d.;-9.20E+01;n.d.
3354;2981.51;n.d.;n.d.;-9.06E+01;n.d.
3356;2979.74;n.d.;n.d.;-8.91E+01;n.d.
3358;2977.96;n.d.;n.d.;-8.76E+01;n.d.
3360;2976.19;n.d.;n.d.;-8.63E+01;n.d.
3362;2974.42;n.d.;n.d.;-8.50E+01;n.d.
3364;2972.65;n.d.;n.d.;-8.36E+01;n.d.
3366;2970.89;n.d.;n.d.;-8.23E+01;n.d.
3368;2969.12;n.d.;n.d.;-8.10E+01;n.d.
3370;2967.36;n.d.;n.d.;-7.97E+01;n.d.
3372;2965.6;n.d.;n.d.;-7.84E+01;n.d.
3374;2963.84;n.d.;n.d.;-7.71E+01;n.d.
3376;2962.09;n.d.;n.d.;-7.58E+01;n.d.
3378;2960.33;n.d.;n.d.;-7.45E+01;n.d.
3380;2958.58;n.d.;n.d.;-7.34E+01;n.d.
3382;2956.83;n.d.;n.d.;-7.23E+01;n.d.
3384;2955.08;n.d.;n.d.;-7.12E+01;n.d.
3386;2953.34;n.d.;n.d.;-7.02E+01;n.d.
3388;2951.59;n.d.;n.d.;-6.91E+01;n.d.
3390;2949.85;n.d.;n.d.;-6.81E+01;n.d.
3392;2948.11;n.d.;n.d.;-6.70E+01;n.d.
3394;2946.38;n.d.;n.d.;-6.60E+01;n.d.
3396;2944.64;n.d.;n.d.;-6.50E+01;n.d.
3398;2942.91;n.d.;n.d.;-6.40E+01;n.d.
3400;2941.18;n.d.;n.d.;-6.30E+01;n.d.
3402;2939.45;n.d.;n.d.;-6.19E+01;n.d.
3404;2937.72;n.d.;n.d.;-6.09E+01;n.d.
3406;2936;n.d.;n.d.;-5.99E+01;n.d.
3408;2934.27;n.d.;n.d.;-5.90E+01;n.d.
3410;2932.55;n.d.;n.d.;-5.80E+01;n.d.
3412;2930.83;n.d.;n.d.;-5.71E+01;n.d.
3414;2929.12;n.d.;n.d.;-5.62E+01;n.d.
3416;2927.4;n.d.;n.d.;-5.52E+01;n.d.
3418;2925.69;n.d.;n.d.;-5.44E+01;n.d.
3420;2923.98;n.d.;n.d.;-5.35E+01;n.d.
3422;2922.27;n.d.;n.d.;-5.27E+01;n.d.
3424;2920.56;n.d.;n.d.;-5.19E+01;n.d.
3426;2918.86;n.d.;n.d.;-5.12E+01;n.d.
3428;2917.15;n.d.;n.d.;-5.05E+01;n.d.
3430;2915.45;n.d.;n.d.;-4.98E+01;n.d.
3432;2913.75;n.d.;n.d.;-4.91E+01;n.d.
3434;2912.06;n.d.;n.d.;-4.85E+01;n.d.
3436;2910.36;n.d.;n.d.;-4.78E+01;n.d.
3438;2908.67;n.d.;n.d.;-4.72E+01;n.d.
3440;2906.98;n.d.;n.d.;-4.65E+01;n.d.
3442;2905.29;n.d.;n.d.;-4.59E+01;n.d.
3444;2903.6;n.d.;n.d.;-4.53E+01;n.d.
3446;2901.92;n.d.;n.d.;-4.47E+01;n.d.
3448;2900.23;n.d.;n.d.;-4.40E+01;n.d.
3450;2898.55;n.d.;n.d.;-4.34E+01;n.d.
3452;2896.87;n.d.;n.d.;-4.28E+01;n.d.
3454;2895.19;n.d.;n.d.;-4.21E+01;n.d.
3456;2893.52;n.d.;n.d.;-4.15E+01;n.d.
3458;2891.84;n.d.;n.d.;-4.09E+01;n.d.
3460;2890.17;n.d.;n.d.;-4.04E+01;n.d.
3462;2888.5;n.d.;n.d.;-3.98E+01;n.d.
3464;2886.84;n.d.;n.d.;-3.93E+01;n.d.
3466;2885.17;n.d.;n.d.;-3.87E+01;n.d.
3468;2883.51;n.d.;n.d.;-3.82E+01;n.d.
3470;2881.84;n.d.;n.d.;-3.76E+01;n.d.
3472;2880.18;n.d.;n.d.;-3.71E+01;n.d.
3474;2878.53;n.d.;n.d.;-3.66E+01;n.d.
3476;2876.87;n.d.;n.d.;-3.61E+01;n.d.
3478;2875.22;n.d.;n.d.;-3.55E+01;n.d.
3480;2873.56;n.d.;n.d.;-3.50E+01;n.d.
3482;2871.91;n.d.;n.d.;-3.45E+01;n.d.
3484;2870.26;n.d.;n.d.;-3.40E+01;n.d.
3486;2868.62;n.d.;n.d.;-3.35E+01;n.d.
3488;2866.97;n.d.;n.d.;-3.31E+01;n.d.
3490;2865.33;n.d.;n.d.;-3.26E+01;n.d.
3492;2863.69;n.d.;n.d.;-3.22E+01;n.d.
3494;2862.05;n.d.;n.d.;-3.18E+01;n.d.
3496;2860.41;n.d.;n.d.;-3.13E+01;n.d.
3498;2858.78;n.d.;n.d.;-3.08E+01;n.d.
3500;2857.14;n.d.;n.d.;-3.03E+01;n.d.
3502;2855.51;n.d.;n.d.;-2.98E+01;n.d.
3504;2853.88;n.d.;n.d.;-2.93E+01;n.d.
3506;2852.25;n.d.;n.d.;-2.89E+01;n.d.
3508;2850.63;n.d.;n.d.;-2.85E+01;n.d.
3510;2849;n.d.;n.d.;-2.82E+01;n.d.
3512;2847.38;n.d.;n.d.;-2.79E+01;n.d.
3514;2845.76;n.d.;n.d.;-2.76E+01;n.d.
3516;2844.14;n.d.;n.d.;-2.74E+01;n.d.
3518;2842.52;n.d.;n.d.;-2.71E+01;n.d.
3520;2840.91;n.d.;n.d.;-2.68E+01;n.d.
3522;2839.3;n.d.;n.d.;-2.65E+01;n.d.
3524;2837.68;n.d.;n.d.;-2.62E+01;n.d.
3526;2836.07;n.d.;n.d.;-2.59E+01;n.d.
3528;2834.47;n.d.;n.d.;-2.56E+01;n.d.
3530;2832.86;n.d.;n.d.;-2.52E+01;n.d.
3532;2831.26;n.d.;n.d.;-2.49E+01;n.d.
3534;2829.65;n.d.;n.d.;-2.46E+01;n.d.
3536;2828.05;n.d.;n.d.;-2.43E+01;n.d.
3538;2826.46;n.d.;n.d.;-2.40E+01;n.d.
3540;2824.86;n.d.;n.d.;-2.37E+01;n.d.
3542;2823.26;n.d.;n.d.;-2.34E+01;n.d.
3544;2821.67;n.d.;n.d.;-2.31E+01;n.d.
3546;2820.08;n.d.;n.d.;-2.28E+01;n.d.
3548;2818.49;n.d.;n.d.;-2.25E+01;n.d.
3550;2816.9;n.d.;n.d.;-2.23E+01;n.d.
3552;2815.32;n.d.;n.d.;-2.20E+01;n.d.
3554;2813.73;n.d.;n.d.;-2.18E+01;n.d.
3556;2812.15;n.d.;n.d.;-2.15E+01;n.d.
3558;2810.57;n.d.;n.d.;-2.13E+01;n.d.
3560;2808.99;n.d.;n.d.;-2.10E+01;n.d.
3562;2807.41;n.d.;n.d.;-2.08E+01;n.d.
3564;2805.84;n.d.;n.d.;-2.05E+01;n.d.
3566;2804.26;n.d.;n.d.;-2.03E+01;n.d.
3568;2802.69;n.d.;n.d.;-2.01E+01;n.d.
3570;2801.12;n.d.;n.d.;-1.99E+01;n.d.
3572;2799.55;n.d.;n.d.;-1.97E+01;n.d.
3574;2797.99;n.d.;n.d.;-1.95E+01;n.d.
3576;2796.42;n.d.;n.d.;-1.93E+01;n.d.
3578;2794.86;n.d.;n.d.;-1.91E+01;n.d.
3580;2793.3;n.d.;n.d.;-1.89E+01;n.d.
3582;2791.74;n.d.;n.d.;-1.87E+01;n.d.
3584;2790.18;n.d.;n.d.;-1.85E+01;n.d.
3586;2788.62;n.d.;n.d.;-1.83E+01;n.d.
3588;2787.07;n.d.;n.d.;-1.82E+01;n.d.
3590;2785.52;n.d.;n.d.;-1.80E+01;n.d.
3592;2783.96;n.d.;n.d.;-1.78E+01;n.d.
3594;2782.42;n.d.;n.d.;-1.75E+01;n.d.
3596;2780.87;n.d.;n.d.;-1.73E+01;n.d.
3598;2779.32;n.d.;n.d.;-1.72E+01;n.d.
3600;2777.78;n.d.;n.d.;-1.70E+01;n.d.
3602;2776.24;n.d.;n.d.;-1.69E+01;n.d.
3604;2774.69;n.d.;n.d.;-1.68E+01;n.d.
3606;2773.16;n.d.;n.d.;-1.66E+01;n.d.
3608;2771.62;n.d.;n.d.;-1.64E+01;n.d.
3610;2770.08;n.d.;n.d.;-1.62E+01;n.d.
3612;2768.55;n.d.;n.d.;-1.60E+01;n.d.
3614;2767.02;n.d.;n.d.;-1.59E+01;n.d.
3616;2765.49;n.d.;n.d.;-1.57E+01;n.d.
3618;2763.96;n.d.;n.d.;-1.56E+01;n.d.
3620;2762.43;n.d.;n.d.;-1.55E+01;n.d.
3622;2760.91;n.d.;n.d.;-1.54E+01;n.d.
3624;2759.38;n.d.;n.d.;-1.52E+01;n.d.
3626;2757.86;n.d.;n.d.;-1.51E+01;n.d.
3628;2756.34;n.d.;n.d.;-1.50E+01;n.d.
3630;2754.82;n.d.;n.d.;-1.48E+01;n.d.
3632;2753.3;n.d.;n.d.;-1.47E+01;n.d.
3634;2751.79;n.d.;n.d.;-1.46E+01;n.d.
3636;2750.28;n.d.;n.d.;-1.45E+01;n.d.
3638;2748.76;n.d.;n.d.;-1.44E+01;n.d.
3640;2747.25;n.d.;n.d.;-1.43E+01;n.d.
3642;2745.74;n.d.;n.d.;-1.41E+01;n.d.
3644;2744.24;n.d.;n.d.;-1.40E+01;n.d.
3646;2742.73;n.d.;n.d.;-1.39E+01;n.d.
3648;2741.23;n.d.;n.d.;-1.38E+01;n.d.
3650;2739.73;n.d.;n.d.;-1.37E+01;n.d.
3652;2738.23;n.d.;n.d.;-1.36E+01;n.d.
3654;2736.73;n.d.;n.d.;-1.34E+01;n.d.
3656;2735.23;n.d.;n.d.;-1.34E+01;n.d.
3658;2733.73;n.d.;n.d.;-1.33E+01;n.d.
3660;2732.24;n.d.;n.d.;-1.32E+01;n.d.
3662;2730.75;n.d.;n.d.;-1.31E+01;n.d.
3664;2729.26;n.d.;n.d.;-1.30E+01;n.d.
3666;2727.77;n.d.;n.d.;-1.30E+01;n.d.
3668;2726.28;n.d.;n.d.;-1.29E+01;n.d.
3670;2724.8;n.d.;n.d.;-1.28E+01;n.d.
3672;2723.31;n.d.;n.d.;-1.27E+01;n.d.
3674;2721.83;n.d.;n.d.;-1.26E+01;n.d.
3676;2720.35;n.d.;n.d.;-1.25E+01;n.d.
3678;2718.87;n.d.;n.d.;-1.24E+01;n.d.
3680;2717.39;n.d.;n.d.;-1.23E+01;n.d.
3682;2715.92;n.d.;n.d.;-1.22E+01;n.d.
3684;2714.44;n.d.;n.d.;-1.21E+01;n.d.
3686;2712.97;n.d.;n.d.;-1.21E+01;n.d.
3688;2711.5;n.d.;n.d.;-1.21E+01;n.d.
3690;2710.03;n.d.;n.d.;-1.20E+01;n.d.
3692;2708.56;n.d.;n.d.;-1.20E+01;n.d.
3694;2707.09;n.d.;n.d.;-1.19E+01;n.d.
3696;2705.63;n.d.;n.d.;-1.19E+01;n.d.
3698;2704.16;n.d.;n.d.;-1.18E+01;n.d.
3700;2702.7;n.d.;n.d.;-1.17E+01;n.d.
3702;2701.24;n.d.;n.d.;-1.17E+01;n.d.
3704;2699.78;n.d.;n.d.;-1.16E+01;n.d.
3706;2698.33;n.d.;n.d.;-1.15E+01;n.d.
3708;2696.87;n.d.;n.d.;-1.14E+01;n.d.
3710;2695.42;n.d.;n.d.;-1.14E+01;n.d.
3712;2693.97;n.d.;n.d.;-1.14E+01;n.d.
3714;2692.51;n.d.;n.d.;-1.13E+01;n.d.
3716;2691.07;n.d.;n.d.;-1.13E+01;n.d.
3718;2689.62;n.d.;n.d.;-1.12E+01;n.d.
3720;2688.17;n.d.;n.d.;-1.12E+01;n.d.
3722;2686.73;n.d.;n.d.;-1.12E+01;n.d.
3724;2685.28;n.d.;n.d.;-1.11E+01;n.d.
3726;2683.84;n.d.;n.d.;-1.11E+01;n.d.
3728;2682.4;n.d.;n.d.;-1.10E+01;n.d.
3730;2680.97;n.d.;n.d.;-1.10E+01;n.d.
3732;2679.53;n.d.;n.d.;-1.10E+01;n.d.
3734;2678.09;n.d.;n.d.;-1.09E+01;n.d.
3736;2676.66;n.d.;n.d.;-1.08E+01;n.d.
3738;2675.23;n.d.;n.d.;-1.08E+01;n.d.
3740;2673.8;n.d.;n.d.;-1.08E+01;n.d.
3742;2672.37;n.d.;n.d.;-1.07E+01;n.d.
3744;2670.94;n.d.;n.d.;-1.07E+01;n.d.
3746;2669.51;n.d.;n.d.;-1.07E+01;n.d.
3748;2668.09;n.d.;n.d.;-1.06E+01;n.d.
3750;2666.67;n.d.;n.d.;-1.06E+01;n.d.
3752;2665.25;n.d.;n.d.;-1.06E+01;n.d.
3754;2663.83;n.d.;n.d.;-1.06E+01;n.d.
3756;2662.41;n.d.;n.d.;-1.05E+01;n.d.
3758;2660.99;n.d.;n.d.;-1.05E+01;n.d.
3760;2659.57;n.d.;n.d.;-1.05E+01;n.d.
3762;2658.16;n.d.;n.d.;-1.05E+01;n.d.
3764;2656.75;n.d.;n.d.;-1.05E+01;n.d.
3766;2655.34;n.d.;n.d.;-1.05E+01;n.d.
3768;2653.93;n.d.;n.d.;-1.04E+01;n.d.
3770;2652.52;n.d.;n.d.;-1.04E+01;n.d.
3772;2651.11;n.d.;n.d.;-1.04E+01;n.d.
3774;2649.71;n.d.;n.d.;-1.04E+01;n.d.
3776;2648.31;n.d.;n.d.;-1.04E+01;n.d.
3778;2646.9;n.d.;n.d.;-1.04E+01;n.d.
3780;2645.5;n.d.;n.d.;-1.04E+01;n.d.
3782;2644.1;n.d.;n.d.;-1.04E+01;n.d.
3784;2642.71;n.d.;n.d.;-1.04E+01;n.d.
3786;2641.31;n.d.;n.d.;-1.03E+01;n.d.
3788;2639.92;n.d.;n.d.;-1.03E+01;n.d.
